dbms,table,tag,name,loc
cos,pp_pm,KPL,Westar Interconnection,39.9045,-95.8008
cos,pp_pm,BF1,West Feeder,(39.9010,-95.8081)
cos,pp_pm,BF2,East Feeder,(39.9005,-95.7975)
cos,pp_pm,BF3,Center Feeder,(39.9020,-95.8010)
cos,pp_pm,BF4,Industrial Feeder,(39.8995,-95.8056)
cos,pp_pm,BSP,Station Power,(39.9042,-95.8039)
cos,pp_pm,BCT,Bus Tie 12470/12470,(39.9028,-95.8003)
cos,pp_pm,CBT,But Tie 12470/12470,(39.9035,-95.8020)
cos,pp_pm,CF1,Southeast Feeder,(39.8999,-95.7963)
cos,pp_pm,CF2,AC Homes,(39.8987,-95.7994)
cos,pp_pm,CF3,North Feeder,(39.9050,-95.8022)
cos,pp_pm,CSP,Station Power,(39.9001,-95.8037)
cos,pp_pm,CDT,Bus Tie 12470/2400,(39.8993,-95.7981)
cos,pp_pm,DCT,Bus Tie 2400/12470,(39.9006,-95.8025)
cos,pp_pm,DF1,North Residence,(39.9071,-95.8011)
cos,pp_pm,DF2,North Main,(39.9084,-95.7996)
cos,pp_pm,DF3,Wegner West,(39.9018,-95.8077)
cos,pp_pm,DF4,South Main,(39.8990,-95.8045)
cos,pp_pm,DSP,Station Power,(39.9048,-95.8052)
cos,pp_pm,BG8,Generator 8,(39.9026,-95.8033)
cos,pp_pm,BG9,Generator 9,(39.9031,-95.8041)
cos,pp_pm,BG10,Generator 10,(39.9045,-95.8026)
cos,pp_pm,BG11,Generator 11,(39.9053,-95.8048)
cos,pp_pm,BG7,Generator 7,(39.9062,-95.8037)
cos,pp_pm,BG12,Generator 12,(39.9049,-95.8060)
cos,pp_pm,BG2,Generator 2,(39.9038,-95.8029)
cos,pp_pm,BG3,Generator 3,(39.9054,-95.8035)
cos,pp_pm,BG4,Generator 4,(39.9040,-95.8043)
cos,pp_pm,BG5,Generator 5,(39.9029,-95.8055)
cos,pp_pm,BG6,Generator 6,(39.9061,-95.8024)
